woord afkap
geween ge-ween
gewek ge-wek
geweldenaar ge-wel-de-naar
geweldig ge-wel-dig
gewillig ge-wil-lig
gewilliglik ge-wil-lig-lik
gewis ge-wis
gewoon ge-woon
geword ge-word
gewraak ge-wraak
gewy ge-wy
glans glans
glanse glan-se
glansend glan-send
glansfigure glans-fi-gu-re
glas glas
glo glo
gloed gloed
gloei gloei
glorie glo-rie
gloriedag glo-rie-dag
god god
gód gód
goddelose god-de-lo-se
gode go-de
gods gods
godsnaam godsnaam
godsryk gods-ryk
godstad god-stad
godsvrees gods-vrees
godvrugtigheid god-vrug-tig-heid
goed goed
goed're goed're
goedheid goed-heid
goeie goeie
golwe gol-we
gou gou
goud goud
goudbane<U+2040>al goud-ba-ne<U+2040>al
goue goue
graan graan
graf graf
grafstee graf-stee
gramskap gram-skap
gras gras
grasspriet gras-spriet
groei groei
grond grond
groot groot
gróót gróót
grootboek groot-boek
grootglansend groot-glan-send
grootpad groot-pad
grote gro-te
grotes gro-tes
gryp gryp
grys-skeemrend grys-skeem-rend
grysaards grys-aards
guns guns
gunsbewys guns-be-wys
gunsgenoot guns-ge-noot
haar haar
haas haas
haastig haas-tig
had had
haelslag ha-elslag
haelwit ha-el-wit
halleluja hal-le-lu-ja
hamerhoue ha-mer-houe
hand hand
hande han-de
hande<U+2040>ontvang han-de<U+2040>-ont-vang
handel han-del
harde har-de
hart hart
harte har-te
harte<U+2040>en har-te<U+2040>en
harteloos har-te-loos
hartseer hartseer
haters ha-ters
hê hê
hede he-de
heel heel
heelal heel-al
heemle heem-le
heen heen
heengelei heen-ge-lei
heer heer
heerlik heer-lik
heerlikheid heer-lik-heid
heers heers
heerskappy heer-skap-py
heerskappye<U+2040>en heer-skap-pye<U+2040>en
heet heet
hef hef
heid'ne heid'ne
heidendom hei-den-dom
heil heil
heil'ge heil'ge
heilgeheim heil-ge-heim
heilig hei-lig
heilig-wees hei-lig-wees
heiligdom hei-lig-dom
heilige hei-li-ge
heiliges hei-li-ges
heiligheid hei-lig-heid
heilsgedagte heils-ge-dag-te
hel hel
hel* hel*
helaas he-laas
held're held're
helder hel-der
hele he-le
helle hel-le
help help
helper hel-per
helse helse
hemel he-mel
hemelblou he-mel-blou
hemelboodskap he-mel-bood-skap
hemele he-me-le
hemeling he-me-ling
hemelkoor he-mel-koor
hemelleër he-mel-leër
hemelrond he-mel-rond
hemelse he-melse
hemelsfere he-melsfe-re
hemelstem he-melstem
hemelvader he-mel-va-der
hemelvors he-mel-vors
herbore her-bo-re
herder her-der
herders her-ders
herdink her-dink
here here
herleef her-leef
herout he-rout
herrysenis her-ry-se-nis
herstel her-stel
het het
heup heup
heuwel heu-wel
hier hier
hierdie hier-die
hierna hier-na
hinder hin-der
hindernis hin-der-nis
hoe hoe
hoë hoë
hoedat hoe-dat
hoede hoe-de
hoeder hoe-der
hoef hoef
hoër hoër
hofstoet hofstoet
hom hom
hóm hóm
honger hon-ger
hoof hoof
hoofde hoof-de
hoog hoog
hoogheid hoog-heid
hoogheidsteken hoog-heids-te-ken
hoogmoedig hoog-moe-dig
hoogste hoog-ste
hoogte hoog-te
hoogte<U+2040>aan hoog-te<U+2040>aan
hóóguit hóóguit
hoop hoop
hoor hoor
hoort hoort
horeb ho-reb
horing ho-ring
hou hou
huis huis
hul hul
húl húl
hulde hul-de
hulle hul-le
húlle húl-le
hulp hulp
hulself hulself
huurling huur-ling
hy hy
iets iets
immanuel im-ma-nuel
immer im-mer
immermeer im-mer-meer
in in
indien in-dien
ingaan in-gaan
ingelei in-ge-lei
ingesluk in-ge-sluk
ingetree in-ge-tree
ingewy in-ge-wy
innerlike<U+2040>erbarming in-ner-li-ke<U+2040>er-bar-ming
inwag in-wag
is is
isébel isébel
isr'el isr'el
israel is-ra-el
ja ja
jaag jaag
jakob ja-kob
jaloers ja-loers
jammerte jam-mer-te
jerusalem je-ru-sa-lem
jesus je-sus
johannes jo-han-nes
jou jou
jubel ju-bel
jubeltoon ju-bel-toon
juig juig
juigendgroen jui-gend-groen
juk juk
jul jul
julle jul-le
julle<U+2040>in jul-le<U+2040>in
jy jy
jý jý
kan kan
kanaäniet ka-naäniet
kand'laar kand'laar
kandelaars kan-de-laars
kante kan-te
kap kap
keer keer
ken ken
kennis ken-nis
kennislig ken-nis-lig
kere ke-re
kerk kerk
kerm kerm
keur keur
keurboom keur-boom
kies kies
kimme kim-me
kind kind
kinders kin-ders
kindersom kin-dersom
kindertjies kin-dertjies
kindjie kind-jie
kindsdeel kinds-deel
kindskap kind-skap
klaag klaag
klaag- klaag-
klaar klaar
klaarheid klaar-heid
klank klank
klanke klan-ke
klare<U+2040>omlyning kla-re<U+2040>om-ly-ning
kleding kle-ding
kledy kledy
kleed kleed
kleef kleef
klein klein
